Time [s],BHP [Pa],Total rate [kg/s],Total surface Volumetric rate [sm3/s],Phase0 surface volumetric rate [sm3/s],Phase1 surface volumetric rate [sm3/s],Phase2 surface volumetric rate [sm3/s]
1.16467e+08,1.404e+06,1.76587e+07,-14.928,-0.0838277,-0.0135978,-0.068681,-0.00154889
1.17871e+08,1.404e+06,1.72466e+07,-15.0951,-0.0847699,-0.013597,-0.069478,-0.00169492
1.19275e+08,1.404e+06,1.68158e+07,-15.2431,-0.0850213,-0.0135977,-0.069585,-0.00183857
1.20679e+08,1.404e+06,1.77189e+07,-13.8952,-0.0761268,-0.0123345,-0.062028,-0.00176433
1.22083e+08,1.404e+06,1.74069e+07,-14.0684,-0.0772124,-0.0123343,-0.062966,-0.00191212
1.23487e+08,1.404e+06,1.78e+07,-13.4312,-0.0728706,-0.0116876,-0.0592606,-0.00192232
1.24891e+08,1.3392e+06,1.75427e+07,-13.5762,-0.0735507,-0.0116876,-0.0598111,-0.00205207
1.2623e+08,1.3392e+06,1.72764e+07,-13.7021,-0.0737795,-0.0116875,-0.0599175,-0.00217454
1.2757e+08,2.6784e+06,1.7462e+07,-13.21,-0.0699739,-0.0111004,-0.0566051,-0.00226839
1.30248e+08,5.3568e+06,1.65287e+07,-13.6249,-0.0706469,-0.0111004,-0.0568726,-0.00267397
1.35605e+08,5.3568e+06,1.77056e+07,-12.1578,-0.0615321,-0.00967427,-0.049237,-0.00262081
1.40962e+08,5.3568e+06,1.79541e+07,-11.7734,-0.0587275,-0.00913232,-0.0468354,-0.00275975
1.46318e+08,5.616e+06,1.80623e+07,-11.474,-0.0561036,-0.00867547,-0.0445192,-0.00290896
1.51934e+08,5.616e+06,1.81396e+07,-11.2169,-0.0538323,-0.00828877,-0.0425107,-0.00303282
1.5755e+08,237600,1.88005e+07,-10.4758,-0.0492207,-0.00780819,-0.038608,-0.00280446
1.57788e+08,237600,1.90347e+07,-10.282,-0.0483414,-0.00765308,-0.0379275,-0.00276074
1.58026e+08,475200,1.89558e+07,-10.3796,-0.0492195,-0.00765188,-0.03873,-0.0028377
