[2018-09-10 12:08:28] DEBUG:   MeshVersionFormatted 2 is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:   Dimension 3 is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:     is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:     is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:     is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:   RequiredVertices is ignored
[2018-09-10 12:08:28] DEBUG:   0 is ignored
[2018-09-10 12:08:28] DEBUG:    is ignored
[2018-09-10 12:08:28] DEBUG:   Edges is ignored
[2018-09-10 12:08:28] DEBUG:   516 is ignored
[2018-09-10 12:08:28] DEBUG:   348 349 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1065 344 123  is ignored
[2018-09-10 12:08:28] DEBUG:   349 350 123  is ignored
[2018-09-10 12:08:28] DEBUG:   343 1065 123  is ignored
[2018-09-10 12:08:28] DEBUG:   346 1068 123  is ignored
[2018-09-10 12:08:28] DEBUG:   354 287 123  is ignored
[2018-09-10 12:08:28] DEBUG:   287 1071 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1072 355 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1071 1072 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1079 1078 123  is ignored
[2018-09-10 12:08:28] DEBUG:   360 361 123  is ignored
[2018-09-10 12:08:28] DEBUG:   361 359 123  is ignored
[2018-09-10 12:08:28] DEBUG:   359 1079 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1078 357 123  is ignored
[2018-09-10 12:08:28] DEBUG:   363 1084 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1084 359 123  is ignored
[2018-09-10 12:08:28] DEBUG:   365 364 123  is ignored
[2018-09-10 12:08:28] DEBUG:   367 1086 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1086 365 123  is ignored
[2018-09-10 12:08:28] DEBUG:   368 1091 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1087 365 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1088 1087 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1091 1090 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1089 1088 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1090 1089 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1106 372 123  is ignored
[2018-09-10 12:08:28] DEBUG:   372 1102 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1102 1101 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1099 370 123  is ignored
[2018-09-10 12:08:28] DEBUG:   374 1106 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1101 1100 123  is ignored
[2018-09-10 12:08:28] DEBUG:   375 373 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1100 1099 123  is ignored
[2018-09-10 12:08:28] DEBUG:   377 376 123  is ignored
[2018-09-10 12:08:28] DEBUG:   376 1107 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1107 378 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1118 1119 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1119 329 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1449 1118 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1114 382 123  is ignored
[2018-09-10 12:08:28] DEBUG:   381 1114 123  is ignored
[2018-09-10 12:08:28] DEBUG:   387 388 123  is ignored
[2018-09-10 12:08:28] DEBUG:   313 385 123  is ignored
[2018-09-10 12:08:28] DEBUG:   388 389 123  is ignored
[2018-09-10 12:08:28] DEBUG:   384 1121 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1121 1120 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1120 383 123  is ignored
[2018-09-10 12:08:28] DEBUG:   383 1122 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1128 1129 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1130 392 123  is ignored
[2018-09-10 12:08:28] DEBUG:   391 1128 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1129 1130 123  is ignored
[2018-09-10 12:08:28] DEBUG:   394 395 123  is ignored
[2018-09-10 12:08:28] DEBUG:   395 1136 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1136 1137 123  is ignored
[2018-09-10 12:08:28] DEBUG:   396 1135 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1135 394 123  is ignored
[2018-09-10 12:08:28] DEBUG:   397 398 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1137 397 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1152 308 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1150 1151 123  is ignored
[2018-09-10 12:08:28] DEBUG:   402 1149 123  is ignored
[2018-09-10 12:08:28] DEBUG:   1149 1150 123  is ignored
