time,p_zh0p0,p_zh0p6,p_zh0p8,T_zh0p0,T_zh0p6,T_zh0p8,disp_1p4m,disp_4p2m,disp_7m,sxx_0m,sxx_4p2m,sxx_5p6m,syy
6.42807312e+02,2.52155069e-01,1.50082653e-01,7.93419413e-02,2.73726345e+02,2.86621966e+02,3.02190982e+02,8.10421423e-05,2.43603846e-04,3.85687698e-04,-7.52447392e-01,-7.57110115e-01,-7.80236927e-01,-1.00000000e+00
7.56463328e+02,1.91514830e-01,1.14024001e-01,6.02687432e-02,2.74242478e+02,2.88585318e+02,3.03687171e+02,8.69417950e-05,2.57243851e-04,4.00823272e-04,-7.33782378e-01,-7.50980621e-01,-7.78367761e-01,-1.00000000e+00
8.90215085e+02,1.39353643e-01,8.29891068e-02,4.38598184e-02,2.75046990e+02,2.90559400e+02,3.05096656e+02,9.16539453e-05,2.67888292e-04,4.12499894e-04,-7.18808852e-01,-7.46557903e-01,-7.77126575e-01,-1.00000000e+00
1.04761575e+03,9.68530025e-02,5.76864100e-02,3.04845616e-02,2.76206397e+02,2.92526669e+02,3.06422278e+02,9.49970481e-05,2.75156571e-04,4.20260775e-04,-7.08120193e-01,-7.44025476e-01,-7.76645020e-01,-1.00000000e+00
1.23284674e+03,6.43340263e-02,3.83134196e-02,2.02442454e-02,2.77769304e+02,2.94480585e+02,3.07670842e+02,9.68965968e-05,2.78917247e-04,4.23946656e-04,-7.01969253e-01,-7.43429562e-01,-7.76977274e-01,-1.00000000e+00
1.45082878e+03,4.11835933e-02,2.45117858e-02,1.29481760e-02,2.79759702e+02,2.96427114e+02,3.08854677e+02,9.73984330e-05,2.79314203e-04,4.23724605e-04,-7.00223636e-01,-7.44668605e-01,-7.78096758e-01,-1.00000000e+00
1.70735265e+03,2.59801613e-02,1.54411989e-02,8.15222216e-03,2.82174785e+02,2.98383600e+02,3.09992319e+02,9.66574585e-05,2.76737853e-04,4.20050508e-04,-7.02401075e-01,-7.47514533e-01,-7.79911031e-01,-1.00000000e+00
2.00923300e+03,1.68093586e-02,9.96630735e-03,5.25688195e-03,2.84986836e+02,3.00374198e+02,3.11106916e+02,9.49028896e-05,2.71743333e-04,4.13569900e-04,-7.07780293e-01,-7.51661362e-01,-7.82289708e-01,-1.00000000e+00
2.36448941e+03,1.16793252e-02,6.90339295e-03,3.63705245e-03,2.88147662e+02,3.02422311e+02,3.12221913e+02,9.23907029e-05,2.64940330e-04,4.04988156e-04,-7.15552761e-01,-7.56784729e-01,-7.85094756e-01,-1.00000000e+00
2.78255940e+03,8.89399991e-03,5.24267504e-03,2.75923218e-03,2.91593512e+02,3.04541910e+02,3.13355169e+02,8.93600693e-05,2.56894110e-04,3.94956971e-04,-7.24961870e-01,-7.62589954e-01,-7.88201917e-01,-1.00000000e+00
3.27454916e+03,7.26074134e-03,4.27264770e-03,2.24724600e-03,2.95248505e+02,3.06730349e+02,3.14513750e+02,8.60086305e-05,2.48072288e-04,3.84016204e-04,-7.35382429e-01,-7.68831928e-01,-7.91506998e-01,-1.00000000e+00
3.85352859e+03,6.09595145e-03,3.58442748e-03,1.88470954e-03,2.99025667e+02,3.08964804e+02,3.15691343e+02,8.24912495e-05,2.38846676e-04,3.72599742e-04,-7.46325650e-01,-7.75305888e-01,-7.94918933e-01,-1.00000000e+00
4.53487851e+03,5.09223168e-03,2.99341994e-03,1.57379047e-03,3.02826463e+02,3.11203000e+02,3.16868864e+02,7.89346209e-05,2.29530377e-04,3.61080402e-04,-7.57393468e-01,-7.81823473e-01,-7.98347857e-01,-1.00000000e+00
5.33669923e+03,4.15364553e-03,2.44149730e-03,1.28358027e-03,3.06541252e+02,3.13387440e+02,3.18017482e+02,7.54541729e-05,2.20417326e-04,3.49815196e-04,-7.68224971e-01,-7.88192819e-01,-8.01696972e-01,-1.00000000e+00
6.28029144e+03,3.27431143e-03,1.92459736e-03,1.01182179e-03,3.10053276e+02,3.15451917e+02,3.19102874e+02,7.21628955e-05,2.11800459e-04,3.39164015e-04,-7.78467932e-01,-7.94213951e-01,-8.04862563e-01,-1.00000000e+00
7.39072203e+03,2.47562389e-03,1.45513565e-03,7.65010168e-04,3.13247535e+02,3.17329475e+02,3.20089969e+02,6.91693039e-05,2.03963111e-04,3.29476503e-04,-7.87784479e-01,-7.99690138e-01,-8.07741576e-01,-1.00000000e+00
8.69749003e+03,1.78153846e-03,1.04716206e-03,5.50525678e-04,3.16023847e+02,3.18961352e+02,3.20947898e+02,6.65673936e-05,1.97151219e-04,3.21056540e-04,-7.95882054e-01,-8.04449778e-01,-8.10243868e-01,-1.00000000e+00
1.02353102e+04,1.20960217e-03,7.10986318e-04,3.73787628e-04,3.18311591e+02,3.20306055e+02,3.21654849e+02,6.44233602e-05,1.91538067e-04,3.14118302e-04,-8.02554641e-01,-8.08371826e-01,-8.12305811e-01,-1.00000000e+00
1.20450354e+04,7.66935046e-04,4.50793110e-04,2.36995963e-04,3.20082260e+02,3.21346828e+02,3.22202016e+02,6.27639209e-05,1.87193598e-04,3.08748243e-04,-8.07719091e-01,-8.11407414e-01,-8.13901714e-01,-1.00000000e+00
1.41747416e+04,4.48627984e-04,2.63696913e-04,1.38633671e-04,3.21355488e+02,3.22095212e+02,3.22595465e+02,6.15706738e-05,1.84069637e-04,3.04886815e-04,-8.11432674e-01,-8.13590203e-01,-8.15049274e-01,-1.00000000e+00
1.66810054e+04,2.38692924e-04,1.40300180e-04,7.37601698e-05,3.22195228e+02,3.22588799e+02,3.22854959e+02,6.07836841e-05,1.82009271e-04,3.02340063e-04,-8.13881916e-01,-8.15029831e-01,-8.15806131e-01,-1.00000000e+00
1.96304065e+04,1.13589444e-04,6.67662002e-05,3.51010687e-05,3.22695642e+02,3.22882935e+02,3.23009596e+02,6.03147050e-05,1.80781468e-04,3.00822414e-04,-8.15341456e-01,-8.15887728e-01,-8.16257154e-01,-1.00000000e+00
2.31012970e+04,4.74039219e-05,2.78633262e-05,1.46486175e-05,3.22960384e+02,3.23038547e+02,3.23091406e+02,6.00665934e-05,1.80131903e-04,3.00019508e-04,-8.16113621e-01,-8.16341595e-01,-8.16495766e-01,-1.00000000e+00
2.71858824e+04,1.69506457e-05,9.96333956e-06,5.23803759e-06,3.23082197e+02,3.23110147e+02,3.23129048e+02,5.99524323e-05,1.79833025e-04,2.99650075e-04,-8.16468909e-01,-8.16550428e-01,-8.16605556e-01,-1.00000000e+00
3.19926714e+04,5.05346248e-06,2.97035072e-06,1.56160579e-06,3.23129786e+02,3.23138119e+02,3.23143754e+02,5.99078330e-05,1.79716263e-04,2.99505749e-04,-8.16607710e-01,-8.16632013e-01,-8.16648448e-01,-1.00000000e+00
3.76493581e+04,1.21635397e-06,7.14954925e-07,3.75874048e-07,3.23145135e+02,3.23147140e+02,3.23148497e+02,5.98934487e-05,1.79678604e-04,2.99459200e-04,-8.16652476e-01,-8.16658326e-01,-8.16662281e-01,-1.00000000e+00
4.43062146e+04,2.27597547e-07,1.33778481e-07,7.03315098e-08,3.23149090e+02,3.23149465e+02,3.23149719e+02,5.98897421e-05,1.79668900e-04,2.99447205e-04,-8.16664011e-01,-8.16665106e-01,-8.16665846e-01,-1.00000000e+00
5.21400829e+04,3.16646797e-08,1.86120317e-08,9.78492415e-09,3.23149873e+02,3.23149926e+02,3.23149961e+02,5.98890076e-05,1.79666977e-04,2.99444829e-04,-8.16666297e-01,-8.16666450e-01,-8.16666553e-01,-1.00000000e+00
6.13590727e+04,3.10832795e-09,1.82702933e-09,9.60526161e-10,3.23149988e+02,3.23149993e+02,3.23149996e+02,5.98889005e-05,1.79666697e-04,2.99444482e-04,-8.16666630e-01,-8.16666645e-01,-8.16666655e-01,-1.00000000e+00
7.22080902e+04,2.02415416e-10,1.18976797e-10,6.25498036e-11,3.23149999e+02,3.23150000e+02,3.23150000e+02,5.98888896e-05,1.79666669e-04,2.99444447e-04,-8.16666664e-01,-8.16666665e-01,-8.16666666e-01,-1.00000000e+00
8.49753436e+04,8.13226050e-12,4.78002279e-12,2.51300670e-12,3.23150000e+02,3.23150000e+02,3.23150000e+02,5.98888889e-05,1.79666667e-04,2.99444445e-04,-8.16666667e-01,-8.16666667e-01,-8.16666667e-01,-1.00000000e+00
1.00000000e+05,1.85073305e-13,1.08783359e-13,5.71907963e-14,3.23150000e+02,3.23150000e+02,3.23150000e+02,5.98888889e-05,1.79666667e-04,2.99444444e-04,-8.16666667e-01,-8.16666667e-01,-8.16666667e-01,-1.00000000e+00
