time,p_0m,p_4p2m,p_5p6m,T_0m,T_4p2m,T_5p6m,disp_1p4m,disp_4p2m,disp_7m,sxx_0m,sxx_4p2m,sxx_5p6m,syy_0m
2.01000000e+02,7.53540092e-01,4.43297873e-01,2.30055207e-01,2.72994359e+02,2.75618878e+02,2.89958936e+02,2.81157848e-05,1.13323580e-04,2.41599717e-04,-9.17825515e-01,-8.25640486e-01,-7.94502436e-01,-1.00000000e+00
2.21000000e+02,7.17044327e-01,4.19707509e-01,2.17401544e-01,2.72993764e+02,2.76208827e+02,2.91105678e+02,3.20460180e-05,1.23651245e-04,2.53068066e-04,-9.05657843e-01,-8.19163384e-01,-7.93445825e-01,-1.00000000e+00
2.41000000e+02,6.81883899e-01,3.97787047e-01,2.05783645e-01,2.72993494e+02,2.76811228e+02,2.92145121e+02,3.58242830e-05,1.33425662e-04,2.63889527e-04,-8.93936281e-01,-8.13303039e-01,-7.92451266e-01,-1.00000000e+00
2.61000000e+02,6.48175072e-01,3.77275776e-01,1.95003554e-01,2.72993753e+02,2.77418032e+02,2.93092222e+02,3.94406011e-05,1.42669792e-04,2.74111793e-04,-8.82700201e-01,-8.07949077e-01,-7.91488365e-01,-1.00000000e+00
2.81000000e+02,6.15961260e-01,3.57990771e-01,1.84926712e-01,2.72994809e+02,2.78023263e+02,2.93959369e+02,4.28917121e-05,1.51407906e-04,2.83773807e-04,-8.71964875e-01,-8.03022182e-01,-7.90543049e-01,-1.00000000e+00
3.01000000e+02,5.85241108e-01,3.39799304e-01,1.75459132e-01,2.72996988e+02,2.78622559e+02,2.94756861e+02,4.61784654e-05,1.59664531e-04,2.92908679e-04,-8.61730829e-01,-7.98464027e-01,-7.89610400e-01,-1.00000000e+00
3.21000000e+02,5.55986292e-01,3.22601316e-01,1.66532970e-01,2.73000663e+02,2.79212792e+02,2.95493304e+02,4.93041746e-05,1.67463826e-04,3.01545513e-04,-8.51989746e-01,-7.94230588e-01,-7.88690412e-01,-1.00000000e+00
3.41000000e+02,5.28152765e-01,3.06318265e-01,1.58097376e-01,2.73006245e+02,2.79791774e+02,2.96175937e+02,5.22735841e-05,1.74829219e-04,3.09710574e-04,-8.42728169e-01,-7.90287714e-01,-7.87785488e-01,-1.00000000e+00
3.61000000e+02,5.01687815e-01,2.90886007e-01,1.50112668e-01,2.73014162e+02,2.80358018e+02,2.96810883e+02,5.50922236e-05,1.81783214e-04,3.17428013e-04,-8.33929812e-01,-7.86608162e-01,-7.86898998e-01,-1.00000000e+00
3.81000000e+02,4.76534484e-01,2.76250250e-01,1.42546625e-01,2.73024845e+02,2.80910572e+02,2.97403354e+02,5.77660062e-05,1.88347301e-04,3.24720333e-04,-8.25576985e-01,-7.83169610e-01,-7.86034481e-01,-1.00000000e+00
4.01000000e+02,4.52634307e-01,2.62363633e-01,1.35372119e-01,2.73038717e+02,2.81448874e+02,2.97957814e+02,6.03009807e-05,1.94541924e-04,3.31608691e-04,-8.17651466e-01,-7.79953310e-01,-7.85195214e-01,-1.00000000e+00
4.21000000e+02,4.29928985e-01,2.49183841e-01,1.28565585e-01,2.73056181e+02,2.81972659e+02,2.98478110e+02,6.27031805e-05,2.00386485e-04,3.38113089e-04,-8.10135026e-01,-7.76943167e-01,-7.84384016e-01,-1.00000000e+00
4.41000000e+02,4.08361395e-01,2.36672375e-01,1.22106045e-01,2.73077606e+02,2.82481876e+02,2.98967571e+02,6.49785323e-05,2.05899374e-04,3.44252506e-04,-8.03009736e-01,-7.74125106e-01,-7.83603173e-01,-1.00000000e+00
4.61000000e+02,3.87876176e-01,2.24793745e-01,1.15974464e-01,2.73103328e+02,2.82976635e+02,2.99429094e+02,6.71328032e-05,2.11098004e-04,3.50044990e-04,-7.96258147e-01,-7.71486618e-01,-7.82854440e-01,-1.00000000e+00
4.81000000e+02,3.68420045e-01,2.13514923e-01,1.10153331e-01,2.73133641e+02,2.83457158e+02,2.99865217e+02,6.91715715e-05,2.15998860e-04,3.55507722e-04,-7.89863376e-01,-7.69016452e-01,-7.82139078e-01,-1.00000000e+00
5.01000000e+02,3.49941956e-01,2.02804973e-01,1.04626376e-01,2.73168794e+02,2.83923752e+02,3.00278167e+02,7.11002110e-05,2.20617543e-04,3.60657069e-04,-7.83809159e-01,-7.66704376e-01,-7.81457904e-01,-1.00000000e+00
