vtkOriginalCellIds,attribute,perm_0,perm_1,perm_2,poro,vol
5205,1,8.14411e-14,8.14411e-14,8.14411e-14,0.216566,138457
5206,1,8.36049e-14,8.36049e-14,8.36049e-14,0.219091,138442
5207,1,8.4963e-14,8.4963e-14,8.4963e-14,0.221541,138486
5208,1,8.74629e-14,8.74629e-14,8.74629e-14,0.222276,138451
5209,1,8.74629e-14,8.74629e-14,8.74629e-14,0.222276,138474
5210,1,8.74629e-14,8.74629e-14,8.74629e-14,0.222276,138531
5211,1,2.57362e-14,2.57362e-14,2.57362e-14,0.18337,139592
5212,1,4.13841e-14,4.13841e-14,4.13841e-14,0.195754,139787
5213,1,6.22479e-14,6.22479e-14,6.22479e-14,0.212267,139789
5214,1,6.74639e-14,6.74639e-14,6.74639e-14,0.216395,139865
5215,1,7.49635e-14,7.49635e-14,7.49635e-14,0.2186,139860
5216,1,8.4963e-14,8.4963e-14,8.4963e-14,0.221541,139921
5217,1,8.74629e-14,8.74629e-14,8.74629e-14,0.222276,139938
5218,1,8.74629e-14,8.74629e-14,8.74629e-14,0.222276,140079
5219,1,8.74629e-14,8.74629e-14,8.74629e-14,0.222276,140082
5220,1,4.00749e-14,4.00749e-14,4.00749e-14,0.195292,134712
5221,1,5.53092e-14,5.53092e-14,5.53092e-14,0.207611,135043
5222,1,7.06849e-14,7.06849e-14,7.06849e-14,0.217353,135090
5223,1,7.44655e-14,7.44655e-14,7.44655e-14,0.218496,135295
5224,1,7.71389e-14,7.71389e-14,7.71389e-14,0.219281,135407
5225,1,8.33043e-14,8.33043e-14,8.33043e-14,0.22106,135567
5226,1,8.79621e-14,8.79621e-14,8.79621e-14,0.222361,135755
5227,1,9.0291e-14,9.0291e-14,9.0291e-14,0.223012,135917
5228,1,9.0291e-14,9.0291e-14,9.0291e-14,0.223012,136012
5229,1,5.9216e-14,5.9216e-14,5.9216e-14,0.211277,130316
5230,1,6.64902e-14,6.64902e-14,6.64902e-14,0.216083,130502
5231,1,7.63778e-14,7.63778e-14,7.63778e-14,0.219053,130486
5232,1,8.03039e-14,8.03039e-14,8.03039e-14,0.220254,130681
5233,1,7.56512e-14,7.56512e-14,7.56512e-14,0.218884,130698
5234,1,8.14747e-14,8.14747e-14,8.14747e-14,0.220494,130733
5235,1,9.07902e-14,9.07902e-14,9.07902e-14,0.223097,130888
5236,1,9.31191e-14,9.31191e-14,9.31191e-14,0.223748,130910
5237,1,9.31191e-14,9.31191e-14,9.31191e-14,0.223748,131010
5238,1,4.50901e-14,4.50901e-14,4.50901e-14,0.20036,125991
5239,1,5.36028e-14,5.36028e-14,5.36028e-14,0.205248,126229
5240,1,7.06281e-14,7.06281e-14,7.06281e-14,0.215024,126302
5241,1,7.68144e-14,7.68144e-14,7.68144e-14,0.219227,126557
5242,1,7.68169e-14,7.68169e-14,7.68169e-14,0.219193,126619
5243,1,8.61324e-14,8.61324e-14,8.61324e-14,0.221796,126751
5244,1,9.31191e-14,9.31191e-14,9.31191e-14,0.223748,126897
5245,1,9.31191e-14,9.31191e-14,9.31191e-14,0.223748,127071
5246,1,9.31191e-14,9.31191e-14,9.31191e-14,0.223748,127224
5247,1,2.6162e-14,2.6162e-14,2.6162e-14,0.18538,121350
5248,1,4.42843e-14,4.42843e-14,4.42843e-14,0.197816,121627
5249,1,6.84473e-14,6.84473e-14,6.84473e-14,0.214397,121683
5250,1,7.68169e-14,7.68169e-14,7.68169e-14,0.219193,121903
5251,1,8.38035e-14,8.38035e-14,8.38035e-14,0.221145,121879
5252,1,9.07902e-14,9.07902e-14,9.07902e-14,0.223097,122077
5253,1,9.31191e-14,9.31191e-14,9.31191e-14,0.223748,122083
5254,1,9.31191e-14,9.31191e-14,9.31191e-14,0.223748,122277
5255,1,9.31191e-14,9.31191e-14,9.31191e-14,0.223748,122388
5256,1,3.22028e-14,3.22028e-14,3.22028e-14,0.189525,123081
5257,1,5.63657e-14,5.63657e-14,5.63657e-14,0.206106,123244
5258,1,7.4488e-14,7.4488e-14,7.4488e-14,0.218542,123270
5259,1,7.91458e-14,7.91458e-14,7.91458e-14,0.219843,123315
5260,1,8.84613e-14,8.84613e-14,8.84613e-14,0.222446,123360
5261,1,9.31191e-14,9.31191e-14,9.31191e-14,0.223748,123437
5262,1,9.31191e-14,9.31191e-14,9.31191e-14,0.223748,123397
5263,1,9.31191e-14,9.31191e-14,9.31191e-14,0.223748,123469
5264,1,9.31191e-14,9.31191e-14,9.31191e-14,0.223748,123559
5274,1,9.26034e-14,9.26034e-14,9.26034e-14,0.177441,189083
5275,1,9.26034e-14,9.26034e-14,9.26034e-14,0.177441,189201
5276,1,9.26034e-14,9.26034e-14,9.26034e-14,0.177441,189211
5277,1,1.82029e-13,1.82029e-13,1.82029e-13,0.195189,189372
5278,1,2.71454e-13,2.71454e-13,2.71454e-13,0.212938,189440
5279,1,2.71454e-13,2.71454e-13,2.71454e-13,0.212938,189451
5280,1,3.00751e-13,3.00751e-13,3.00751e-13,0.217204,189563
5281,1,3.30048e-13,3.30048e-13,3.30048e-13,0.221471,189691
5282,1,3.30048e-13,3.30048e-13,3.30048e-13,0.221471,189739
5283,1,9.39722e-14,9.39722e-14,9.39722e-14,0.177936,185034
5284,1,9.39722e-14,9.39722e-14,9.39722e-14,0.177936,185132
5285,1,9.4986e-14,9.4986e-14,9.4986e-14,0.178252,185146
5286,1,1.63124e-13,1.63124e-13,1.63124e-13,0.191747,185176
