vtkOriginalCellIds,attribute,perm_0,perm_1,perm_2,poro,vol
41022,2,1.86514e-13,1.86514e-13,1.86514e-13,0.24696,143922
41023,2,1.81026e-13,1.81026e-13,1.81026e-13,0.245783,143745
41024,2,1.8377e-13,1.8377e-13,1.8377e-13,0.246371,144043
41025,2,1.8377e-13,1.8377e-13,1.8377e-13,0.246371,143900
41026,2,1.81026e-13,1.81026e-13,1.81026e-13,0.245783,144202
41027,2,1.81026e-13,1.81026e-13,1.81026e-13,0.245783,142543
41028,2,1.45382e-13,1.45382e-13,1.45382e-13,0.2369,141667
41029,2,1.47094e-13,1.47094e-13,1.47094e-13,0.237295,142208
41030,2,1.47094e-13,1.47094e-13,1.47094e-13,0.237295,143696
41031,2,1.47094e-13,1.47094e-13,1.47094e-13,0.237295,143872
41032,2,1.47094e-13,1.47094e-13,1.47094e-13,0.237295,144541
41033,2,1.48843e-13,1.48843e-13,1.48843e-13,0.237711,145041
41034,2,1.52341e-13,1.52341e-13,1.52341e-13,0.238544,145990
41035,2,1.5409e-13,1.5409e-13,1.5409e-13,0.23896,147961
41036,2,1.5409e-13,1.5409e-13,1.5409e-13,0.23896,147717
41037,2,1.5409e-13,1.5409e-13,1.5409e-13,0.23896,148754
41038,2,1.55801e-13,1.55801e-13,1.55801e-13,0.239429,150478
41039,2,1.59222e-13,1.59222e-13,1.59222e-13,0.240367,149730
41040,2,1.60933e-13,1.60933e-13,1.60933e-13,0.240836,150346
41041,2,1.60933e-13,1.60933e-13,1.60933e-13,0.240836,151430
41042,2,1.60933e-13,1.60933e-13,1.60933e-13,0.240836,152705
41043,2,1.63806e-13,1.63806e-13,1.63806e-13,0.241525,153957
41044,2,1.66831e-13,1.66831e-13,1.66831e-13,0.242252,156674
