Time,"elementCenter:0","elementCenter:1","elementCenter:2","temperature"
10000,0.52862,0.0051899,0.05,0.00018463
10000,0.52862,0.0051899,0.05,0.00018463
10000,0.52862,0.0051899,0.05,0.00018463
10000,0.53909,0.0052927,0.05,0.00012872
10000,0.53909,0.0052927,0.05,0.00012872
10000,0.53909,0.0052927,0.05,0.00012872
10000,0.53909,0.0052927,0.05,0.00012872
10000,0.53909,0.0052927,0.05,0.00012872
10000,0.53909,0.0052927,0.05,0.00012872
10000,0.53909,0.0052927,0.05,0.00012872
10000,0.53909,0.0052927,0.05,0.00012872
10000,0.53909,0.0052927,0.05,0.00012872
10000,0.53909,0.0052927,0.05,0.00012872
10000,0.53909,0.0052927,0.05,0.00012872
10000,0.54976,0.0053975,0.05,8.8861e-05
10000,0.54976,0.0053975,0.05,8.8861e-05
10000,0.54976,0.0053975,0.05,8.8861e-05
10000,0.54976,0.0053975,0.05,8.8861e-05
10000,0.54976,0.0053975,0.05,8.8861e-05
10000,0.54976,0.0053975,0.05,8.8861e-05
10000,0.54976,0.0053975,0.05,8.8861e-05
10000,0.54976,0.0053975,0.05,8.8861e-05
10000,0.54976,0.0053975,0.05,8.8861e-05
10000,0.54976,0.0053975,0.05,8.8861e-05
10000,0.54976,0.0053975,0.05,8.8861e-05
10000,0.56065,0.0055043,0.05,6.0736e-05
10000,0.56065,0.0055043,0.05,6.0736e-05
10000,0.56065,0.0055043,0.05,6.0736e-05
10000,0.56065,0.0055043,0.05,6.0736e-05
10000,0.56065,0.0055043,0.05,6.0736e-05
10000,0.56065,0.0055043,0.05,6.0736e-05
10000,0.56065,0.0055043,0.05,6.0736e-05
10000,0.56065,0.0055043,0.05,6.0736e-05
10000,0.56065,0.0055043,0.05,6.0736e-05
10000,0.56065,0.0055043,0.05,6.0736e-05
10000,0.56065,0.0055043,0.05,6.0736e-05
10000,0.57175,0.0056133,0.05,4.1091e-05
10000,0.57175,0.0056133,0.05,4.1091e-05
10000,0.57175,0.0056133,0.05,4.1091e-05
10000,0.57175,0.0056133,0.05,4.1091e-05
10000,0.57175,0.0056133,0.05,4.1091e-05
10000,0.57175,0.0056133,0.05,4.1091e-05
10000,0.57175,0.0056133,0.05,4.1091e-05
10000,0.57175,0.0056133,0.05,4.1091e-05
10000,0.57175,0.0056133,0.05,4.1091e-05
10000,0.57175,0.0056133,0.05,4.1091e-05
10000,0.57175,0.0056133,0.05,4.1091e-05
10000,0.58307,0.0057245,0.05,2.7512e-05
10000,0.58307,0.0057245,0.05,2.7512e-05
10000,0.58307,0.0057245,0.05,2.7512e-05
10000,0.58307,0.0057245,0.05,2.7512e-05
10000,0.58307,0.0057245,0.05,2.7512e-05
10000,0.58307,0.0057245,0.05,2.7512e-05
10000,0.58307,0.0057245,0.05,2.7512e-05
10000,0.58307,0.0057245,0.05,2.7512e-05
